,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_011748.1_1096000_1098493_neg,NC_011748.1,EC55989_RS05285,WP_000048485.1,,1096000,1098493,neg,,exonuclease,,COORDINATES: similar to AA sequence:RefSeq:NP_309786.1,,EC55989_1023,1,3,1.0,3.0,1.0,3.0
CDS_NC_011748.1_1796174_1798646_pos,NC_011748.1,EC55989_RS08980,WP_000048303.1,,1796174,1798646,pos,,exonuclease,,COORDINATES: similar to AA sequence:RefSeq:NP_310313.1,,EC55989_1739,1,3,1.0,3.0,1.0,3.0
CDS_NC_011748.1_1409700_1412172_neg,NC_011748.1,EC55989_RS07020,WP_000048525.1,,1409700,1412172,neg,,exonuclease,,COORDINATES: similar to AA sequence:RefSeq:NP_309786.1,,EC55989_1357,1,3,1.0,3.0,1.0,3.0
CDS_NC_011748.1_2167892_2168471_pos,NC_011748.1,EC55989_RS10935,WP_000885636.1,,2167892,2168471,pos,,tail fiber assembly protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309678.1,,EC55989_2122,2,4,2.0,4.0,,
CDS_NC_011748.1_1757735_1758317_neg,NC_011748.1,EC55989_RS08720,WP_012601982.1,,1757735,1758317,neg,,tail fiber assembly protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309678.1,,EC55989_1690,2,4,2.0,4.0,,
CDS_NC_011748.1_1456074_1456659_pos,NC_011748.1,EC55989_RS07310,WP_000885567.1,,1456074,1456659,pos,,tail fiber assembly protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000885581.1,,EC55989_1412,2,4,2.0,4.0,,
CDS_NC_011748.1_864216_864801_pos,NC_011748.1,EC55989_RS04215,WP_000885623.1,,864216,864801,pos,,tail fiber assembly protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000885598.1,,EC55989_0812,2,4,2.0,4.0,,
CDS_NC_011748.1_2292310_2292913_pos,NC_011748.1,EC55989_RS11600,WP_000813432.1,,2292310,2292913,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000813428.1,,EC55989_2245,3,2,3.0,2.0,2.0,2.0
CDS_NC_011748.1_5065062_5065665_pos,NC_011748.1,EC55989_RS25315,WP_000813456.1,,5065062,5065665,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001546339.1,,EC55989_4979,3,2,3.0,2.0,2.0,2.0
CDS_NC_011748.1_1452153_1452753_pos,NC_011748.1,EC55989_RS07295,WP_001233190.1,,1452153,1452753,pos,,Ail/Lom family outer membrane beta-barrel protein,,COORDINATES: similar to AA sequence:RefSeq:NP_706647.1,,EC55989_1410,4,3,4.0,3.0,3.0,3.0
CDS_NC_011748.1_1761344_1761944_neg,NC_011748.1,EC55989_RS08740,WP_001230274.1,,1761344,1761944,neg,,Ail/Lom family outer membrane beta-barrel protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309676.1,,EC55989_1692,4,3,4.0,3.0,3.0,3.0
CDS_NC_011748.1_1136909_1137509_pos,NC_011748.1,EC55989_RS05580,WP_001228258.1,,1136909,1137509,pos,,Ail/Lom family outer membrane beta-barrel protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309834.1,,EC55989_1077,4,3,4.0,3.0,3.0,3.0
CDS_NC_011748.1_841599_842145_pos,NC_011748.1,EC55989_RS04090,WP_000453580.1,,841599,842145,pos,,DNA-packaging protein,,COORDINATES: similar to AA sequence:RefSeq:NP_415092.1,,EC55989_0789,5,2,,,,
CDS_NC_011748.1_842119_844044_pos,NC_011748.1,EC55989_RS04095,,,842119,844044,pos,True,phage terminase large subunit family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_309657.1,,EC55989_0790,5,2,,,,
CDS_NC_011748.1_5055927_5056026_pos,NC_011748.1,EC55989_RS27710,,,5055927,5056026,pos,True,IS3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612101.1,,,6,2,,,,
CDS_NC_011748.1_5054926_5055448_neg,NC_011748.1,EC55989_RS25245,WP_001283626.1,fecI,5054926,5055448,neg,,RNA polymerase sigma factor FecI,,COORDINATES: similar to AA sequence:RefSeq:NP_418713.1,,EC55989_4966,6,2,,,,
CDS_NC_011748.1_1105737_1106253_pos,NC_011748.1,EC55989_RS05370,WP_001290001.1,,1105737,1106253,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_016236032.1,,EC55989_1041,7,2,,,,
CDS_NC_011748.1_1106484_1107182_neg,NC_011748.1,EC55989_RS05375,,,1106484,1107182,neg,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,EC55989_1042,7,2,,,,
CDS_NC_011748.1_4651346_4651862_neg,NC_011748.1,EC55989_RS23175,WP_001295691.1,zur,4651346,4651862,neg,,zinc uptake transcriptional repressor Zur,,COORDINATES: similar to AA sequence:RefSeq:NP_418470.4,,EC55989_4539,8,2,,,,
CDS_NC_011748.1_4652179_4653171_pos,NC_011748.1,EC55989_RS23185,,,4652179,4653171,pos,True,DUF2713 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001560258.1,,EC55989_4541,8,2,,,,
CDS_NC_011748.1_1116716_1117250_pos,NC_011748.1,EC55989_RS05455,WP_001092910.1,,1116716,1117250,pos,,lysozyme,,COORDINATES: similar to AA sequence:RefSeq:NP_310768.1,,EC55989_1054,9,3,5.0,3.0,4.0,3.0
CDS_NC_011748.1_1782876_1783410_neg,NC_011748.1,EC55989_RS08855,WP_001274706.1,,1782876,1783410,neg,,lysozyme,,COORDINATES: similar to AA sequence:RefSeq:NP_706619.3,,EC55989_1715,9,3,5.0,3.0,4.0,3.0
