,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag,dup_id,count_dups,dup_id_pseudo_free,count_dups_pseudo_free,dup_id_mobile_free,count_dups_mobile_free
CDS_NC_009800.1_3151412_3155969_neg,NC_009800.1,ECHS_RS15505,WP_001034466.1,sslE,3151412,3155969,neg,,lipoprotein metalloprotease SslE,,COORDINATES: similar to AA sequence:RefSeq:YP_026189.1,,EcHS_A3142,1,2,,,,
CDS_NC_009800.1_3156394_3157092_pos,NC_009800.1,ECHS_RS15515,,,3156394,3157092,pos,True,IS1-like element IS1A family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,EcHS_A3145,1,2,,,,
CDS_NC_009800.1_2107745_2109359_pos,NC_009800.1,ECHS_RS10530,WP_000080193.1,,2107745,2109359,pos,,IS66-like element ISEc23 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000080195.1,,EcHS_A2123,2,3,,,,
CDS_NC_009800.1_2109624_2111234_neg,NC_009800.1,ECHS_RS23805,,,2109624,2111234,neg,True,ISL3 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_001612334.1,,EcHS_A2127,2,3,,,,
CDS_NC_009800.1_2109390_2109545_neg,NC_009800.1,ECHS_RS23795,,,2109390,2109545,neg,True,gamma-glutamyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_462452.1,,EcHS_A2124,2,3,,,,
CDS_NC_009800.1_1168226_1168924_neg,NC_009800.1,ECHS_RS05710,,,1168226,1168924,neg,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,EcHS_A1163,3,2,,,,
CDS_NC_009800.1_1167856_1168189_pos,NC_009800.1,ECHS_RS05705,WP_000992837.1,csgC,1167856,1168189,pos,,curli assembly protein CsgC,,COORDINATES: similar to AA sequence:RefSeq:NP_309448.1,,EcHS_A1162,3,2,,,,
CDS_NC_009800.1_542046_542358_neg,NC_009800.1,ECHS_RS02625,WP_000409911.1,,542046,542358,neg,,MGMT family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_706349.2,,EcHS_A0531,4,2,,,,
CDS_NC_009800.1_542736_543090_pos,NC_009800.1,ECHS_RS02630,,,542736,543090,pos,True,DUF1428 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308536.1,,EcHS_A0532,4,2,,,,
CDS_NC_009800.1_759855_760182_pos,NC_009800.1,ECHS_RS03655,WP_000873944.1,,759855,760182,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_415230.1,,,5,2,,,,
CDS_NC_009800.1_760212_761733_pos,NC_009800.1,ECHS_RS03660,,,760212,761733,pos,True,RHS repeat protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308756.1,,EcHS_A0749,5,2,,,,
CDS_NC_009800.1_296306_296639_neg,NC_009800.1,ECHS_RS01390,,,296306,296639,neg,True,siphovirus Gp157 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000041330.1,,EcHS_A0279,6,2,,,,
CDS_NC_009800.1_295980_296295_neg,NC_009800.1,ECHS_RS01385,WP_000740047.1,,295980,296295,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000753557.1,,EcHS_A0278,6,2,,,,
CDS_NC_009800.1_1913339_1913411_pos,NC_009800.1,ECHS_RS25475,,,1913339,1913411,pos,True,DUF1889 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_416324.2,,,7,3,,,,
CDS_NC_009800.1_1912274_1912577_pos,NC_009800.1,ECHS_RS09400,WP_012135892.1,,1912274,1912577,pos,,DUF1889 family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001331208.1,,EcHS_A1898,7,3,,,,
CDS_NC_009800.1_1912627_1913325_pos,NC_009800.1,ECHS_RS09405,,,1912627,1913325,pos,True,IS1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,EcHS_A1900,7,3,,,,
CDS_NC_009800.1_3191279_3191567_neg,NC_009800.1,ECHS_RS15680,WP_001059136.1,,3191279,3191567,neg,,DUF2623 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_311910.1,,EcHS_A3178,8,2,,,,
CDS_NC_009800.1_3191685_3192571_neg,NC_009800.1,ECHS_RS15685,,,3191685,3192571,neg,True,dienelactone hydrolase family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_311911.3,,EcHS_A3179,8,2,,,,
CDS_NC_009800.1_1024170_1024455_pos,NC_009800.1,ECHS_RS04985,WP_000167336.1,ihfB,1024170,1024455,pos,,integration host factor subunit beta,,COORDINATES: similar to AA sequence:RefSeq:WP_006819309.1,,EcHS_A1018,9,2,,,,
CDS_NC_009800.1_1024662_1026922_pos,NC_009800.1,ECHS_RS04990,,,1024662,1026922,pos,True,ComEC family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_415433.4,,EcHS_A1019,9,2,,,,
CDS_NC_009800.1_472073_472358_pos,NC_009800.1,ECHS_RS02290,WP_000941942.1,ppnP,472073,472358,pos,,pyrimidine/purine nucleoside phosphorylase,,COORDINATES: similar to AA sequence:RefSeq:NP_308468.1,,EcHS_A0459,10,2,,,,
CDS_NC_009800.1_472505_472847_pos,NC_009800.1,ECHS_RS02295,,,472505,472847,pos,True,DUF2773 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308469.2,,EcHS_A0460,10,2,,,,
CDS_NC_009800.1_3987944_3988226_neg,NC_009800.1,ECHS_RS19665,WP_001140251.1,ppiC,3987944,3988226,neg,,peptidylprolyl isomerase PpiC,,COORDINATES: similar to AA sequence:RefSeq:WP_004097481.1,5.2.1.8,EcHS_A3992,11,2,,,,
CDS_NC_009800.1_3988424_3988873_neg,NC_009800.1,ECHS_RS25665,,,3988424,3988873,neg,True,type II toxin-antitoxin system PemK/MazF family toxin,,COORDINATES: similar to AA sequence:RefSeq:NP_312737.1,,EcHS_A3993,11,2,,,,
CDS_NC_009800.1_3670646_3671783_pos,NC_009800.1,ECHS_RS18145,,,3670646,3671783,pos,True,ISAs1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000420980.1,,EcHS_A3683,12,2,,,,
CDS_NC_009800.1_3670140_3670401_pos,NC_009800.1,ECHS_RS18135,WP_000453654.1,,3670140,3670401,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001334888.1,,,12,2,,,,
CDS_NC_009800.1_4313547_4314840_neg,NC_009800.1,ECHS_RS25685,,,4313547,4314840,neg,True,pentapeptide repeat-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_709843.1,,,13,2,,,,
CDS_NC_009800.1_4311744_4313394_pos,NC_009800.1,ECHS_RS21210,WP_000402207.1,,4311744,4313394,pos,,Na+/H+ antiporter,,COORDINATES: similar to AA sequence:RefSeq:NP_313074.1,,EcHS_A4308,13,2,,,,
CDS_NC_009800.1_3791486_3791750_pos,NC_009800.1,ECHS_RS18710,WP_000015359.1,,3791486,3791750,pos,,hypothetical protein,,COORDINATES: ab initio prediction:GeneMarkS-2+,,,14,2,,,,
CDS_NC_009800.1_3791719_3792847_pos,NC_009800.1,ECHS_RS24365,,,3791719,3792847,pos,True,RHS domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_418050.1,,EcHS_A3799,14,2,,,,
CDS_NC_009800.1_2044725_2044953_pos,NC_009800.1,ECHS_RS10160,WP_000844800.1,yodD,2044725,2044953,pos,,peroxide/acid resistance protein YodD,,COORDINATES: similar to AA sequence:RefSeq:NP_416463.4,,EcHS_A2053,15,3,,,,
CDS_NC_009800.1_2046062_2047757_neg,NC_009800.1,ECHS_RS10170,,yedQ,2046062,2047757,neg,True,cellulose biosynthesis regulator YedQ,,COORDINATES: similar to AA sequence:RefSeq:NP_310721.1,,EcHS_A2057,15,3,,,,
CDS_NC_009800.1_2045250_2046066_pos,NC_009800.1,ECHS_RS10165,,,2045250,2046066,pos,True,mannosyl-3-phosphoglycerate phosphatase-related protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310720.1,,EcHS_A2055,15,3,,,,
CDS_NC_009800.1_3012493_3012995_pos,NC_009800.1,ECHS_RS14805,,,3012493,3012995,pos,True,lytic transglycosylase domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_019843029.1,,EcHS_A3001,16,2,,,,
CDS_NC_009800.1_3012192_3012411_pos,NC_009800.1,ECHS_RS14800,WP_000184092.1,,3012192,3012411,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_417330.1,,,16,2,,,,
CDS_NC_009800.1_1547910_1548123_pos,NC_009800.1,ECHS_RS07620,WP_000882235.1,,1547910,1548123,pos,,YncH family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_310086.1,,,17,2,,,,
CDS_NC_009800.1_1549038_1549812_pos,NC_009800.1,ECHS_RS07625,,,1549038,1549812,pos,True,ISAs1 family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_000420980.1,,EcHS_A1544,17,2,,,,
CDS_NC_009800.1_1268049_1270697_pos,NC_009800.1,ECHS_RS25770,,,1268049,1270697,pos,True,autotransporter outer membrane beta-barrel domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000768542.1,,,18,2,,,,
CDS_NC_009800.1_1267431_1267650_pos,NC_009800.1,ECHS_RS06245,WP_001065861.1,,1267431,1267650,pos,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:YP_588447.1,,EcHS_A1265,18,2,,,,
CDS_NC_009800.1_3015584_3016282_pos,NC_009800.1,ECHS_RS14835,,,3015584,3016282,pos,True,IS1-like element IS1A family transposase,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1,,EcHS_A3007,19,5,,,,
CDS_NC_009800.1_3015107_3015527_neg,NC_009800.1,ECHS_RS14830,,,3015107,3015527,neg,True,EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein,,COORDINATES: similar to AA sequence:RefSeq:NP_311743.1,,EcHS_A3005,19,5,,,,
CDS_NC_009800.1_3014298_3014493_neg,NC_009800.1,ECHS_RS14820,WP_001352163.1,,3014298,3014493,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001352163.1,,EcHS_A3004,19,5,,,,
CDS_NC_009800.1_3014510_3015092_neg,NC_009800.1,ECHS_RS24085,,,3014510,3015092,neg,True,type III secretion apparatus protein OrgA/MxiK,,COORDINATES: similar to AA sequence:RefSeq:NP_311742.1,,,19,5,,,,
CDS_NC_009800.1_3016298_3016619_neg,NC_009800.1,ECHS_RS14840,,,3016298,3016619,neg,True,EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein,,COORDINATES: similar to AA sequence:RefSeq:NP_311743.1,,EcHS_A3008,19,5,,,,
CDS_NC_009800.1_4576768_4576933_pos,NC_009800.1,ECHS_RS22515,WP_000394274.1,,4576768,4576933,pos,,DUF1127 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000394265.1,,EcHS_A4569,20,2,,,,
CDS_NC_009800.1_4577284_4579824_pos,NC_009800.1,ECHS_RS22520,,,4577284,4579824,pos,True,penicillin acylase family protein,,COORDINATES: similar to AA sequence:RefSeq:WP_001569102.1,,EcHS_A4570,20,2,,,,
CDS_NC_009800.1_2106712_2106859_neg,NC_009800.1,ECHS_RS24980,,,2106712,2106859,neg,True,gamma-glutamyltranspeptidase,,COORDINATES: similar to AA sequence:RefSeq:NP_462452.1,,EcHS_A2120,21,3,,,,
CDS_NC_009800.1_2105839_2106673_pos,NC_009800.1,ECHS_RS10510,,,2105839,2106673,pos,True,phosphotriesterase-related protein,,COORDINATES: similar to AA sequence:RefSeq:NP_462451.1,,EcHS_A2119,21,3,,,,
CDS_NC_009800.1_2104830_2104995_neg,NC_009800.1,ECHS_RS25510,WP_001128468.1,,2104830,2104995,neg,,hypothetical protein,,COORDINATES: ab initio prediction:GeneMarkS-2+,,EcHS_A2118,21,3,,,,
CDS_NC_009800.1_4205525_4206710_pos,NC_009800.1,ECHS_RS20730,WP_000031784.1,tuf,4205525,4206710,pos,,elongation factor Tu,,COORDINATES: similar to AA sequence:RefSeq:NP_312930.1,,EcHS_A4213,22,2,1.0,2.0,1.0,2.0
CDS_NC_009800.1_3514487_3515672_neg,NC_009800.1,ECHS_RS17400,WP_000031783.1,tuf,3514487,3515672,neg,,elongation factor Tu,,COORDINATES: similar to AA sequence:RefSeq:NP_312217.1,,EcHS_A3535,22,2,1.0,2.0,1.0,2.0
CDS_NC_009800.1_2113102_2113495_neg,NC_009800.1,ECHS_RS10565,WP_000271005.1,,2113102,2113495,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000271005.1,,EcHS_A2131,23,2,2.0,2.0,2.0,2.0
CDS_NC_009800.1_354970_355354_neg,NC_009800.1,ECHS_RS01735,WP_000271034.1,,354970,355354,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:NP_708755.1,,EcHS_A0343,23,2,2.0,2.0,2.0,2.0
CDS_NC_009800.1_2647049_2648591_pos,NC_009800.1,ECHS_RS13030,WP_001121379.1,ppx,2647049,2648591,pos,,exopolyphosphatase,,COORDINATES: similar to AA sequence:RefSeq:NP_311391.1,3.6.1.11,EcHS_A2637,24,2,,,,
CDS_NC_009800.1_2648629_2650873_neg,NC_009800.1,ECHS_RS13035,,pdeF,2648629,2650873,neg,True,cyclic-guanylate-specific phosphodiesterase PdeF,,COORDINATES: similar to AA sequence:RefSeq:NP_416998.1,,EcHS_A2639,24,2,,,,
CDS_NC_009800.1_3665461_3669697_pos,NC_009800.1,ECHS_RS18125,WP_000015030.1,rhsB,3665461,3669697,pos,,rhs element protein RhsB,,COORDINATES: similar to AA sequence:RefSeq:YP_026224.1,,EcHS_A3681,25,2,3.0,2.0,3.0,2.0
CDS_NC_009800.1_755662_759856_pos,NC_009800.1,ECHS_RS03650,WP_000015029.1,rhsC,755662,759856,pos,,rhs element protein RhsC,,COORDINATES: similar to AA sequence:RefSeq:NP_415229.1,,EcHS_A0748,25,2,3.0,2.0,3.0,2.0
CDS_NC_009800.1_260606_262748_pos,NC_009800.1,ECHS_RS01210,WP_000103329.1,,260606,262748,pos,,type VI secretion system tip protein VgrG,,COORDINATES: similar to AA sequence:RefSeq:NP_308263.1,,EcHS_A0243,26,2,4.0,2.0,4.0,2.0
CDS_NC_009800.1_626777_628679_neg,NC_009800.1,ECHS_RS03020,WP_000103231.1,,626777,628679,neg,,type VI secretion system tip protein VgrG,,COORDINATES: similar to AA sequence:RefSeq:NP_308634.1,,EcHS_A0616,26,2,4.0,2.0,4.0,2.0
CDS_NC_009800.1_4369701_4371348_neg,NC_009800.1,ECHS_RS21480,WP_000066681.1,fumB,4369701,4371348,neg,,class I fumarate hydratase,,COORDINATES: similar to AA sequence:RefSeq:NP_418546.1,4.2.1.2,EcHS_A4363,27,2,5.0,2.0,5.0,2.0
CDS_NC_009800.1_1708864_1710511_neg,NC_009800.1,ECHS_RS08375,WP_000066628.1,fumB,1708864,1710511,neg,,class I fumarate hydratase,,COORDINATES: similar to AA sequence:RefSeq:WP_000066594.1,4.2.1.2,EcHS_A1687,27,2,5.0,2.0,5.0,2.0
CDS_NC_009800.1_1638548_1640221_neg,NC_009800.1,ECHS_RS07995,,,1638548,1640221,neg,True,carbohydrate porin,,COORDINATES: similar to AA sequence:RefSeq:WP_016233185.1,,EcHS_A1617,28,2,,,,
CDS_NC_009800.1_1637084_1638524_neg,NC_009800.1,ECHS_RS07990,WP_000012627.1,,1637084,1638524,neg,,6-phospho-beta-glucosidase,,COORDINATES: similar to AA sequence:RefSeq:WP_000012594.1,,EcHS_A1615,28,2,,,,
