,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NC_011748.1_202_268_pos,NC_011748.1,EC55989_RS00005,WP_001386572.1,thrL,202,268,pos,,thr operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_414542.1,,EC55989_5066
CDS_NC_011748.1_348_2811_pos,NC_011748.1,EC55989_RS00010,WP_001264697.1,thrA,348,2811,pos,,bifunctional aspartate kinase/homoserine dehydrogenase I,,COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1,1.1.1.3,EC55989_0002
CDS_NC_011748.1_2812_3745_pos,NC_011748.1,EC55989_RS00015,WP_000241660.1,thrB,2812,3745,pos,,homoserine kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_308030.1,2.7.1.39,EC55989_0003
CDS_NC_011748.1_3745_5032_pos,NC_011748.1,EC55989_RS00020,WP_000781063.1,thrC,3745,5032,pos,,threonine synthase,,COORDINATES: similar to AA sequence:RefSeq:NP_308031.1,4.2.3.1,EC55989_0004
CDS_NC_011748.1_5245_5542_pos,NC_011748.1,EC55989_RS00030,WP_000738723.1,,5245,5542,pos,,DUF2502 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414546.1,,EC55989_0005
CDS_NC_011748.1_5694_6471_neg,NC_011748.1,EC55989_RS00035,WP_000906204.1,yaaA,5694,6471,neg,,peroxide stress protein YaaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308033.1,,EC55989_0006
CDS_NC_011748.1_6540_7971_neg,NC_011748.1,EC55989_RS00040,WP_001112597.1,,6540,7971,neg,,sodium:alanine symporter family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414548.1,,EC55989_0007
CDS_NC_011748.1_8249_9203_pos,NC_011748.1,EC55989_RS00045,WP_000130189.1,tal,8249,9203,pos,,transaldolase,,COORDINATES: similar to AA sequence:RefSeq:NP_308035.1,2.2.1.2,EC55989_0009
CDS_NC_011748.1_9317_9905_pos,NC_011748.1,EC55989_RS00050,WP_001094682.1,mog,9317,9905,pos,,molybdopterin adenylyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_308036.1,2.7.7.75,EC55989_0010
CDS_NC_011748.1_9939_10506_neg,NC_011748.1,EC55989_RS00055,WP_000528538.1,satP,9939,10506,neg,,acetate uptake transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_308037.1,,EC55989_0011
CDS_NC_011748.1_10654_11368_neg,NC_011748.1,EC55989_RS00060,WP_001102379.1,msyB,10654,11368,neg,,acidic protein MsyB,,COORDINATES: similar to AA sequence:RefSeq:NP_414552.1,,EC55989_0012
CDS_NC_011748.1_11393_11798_neg,NC_011748.1,EC55989_RS00065,WP_000843559.1,,11393,11798,neg,,DUF2541 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_705972.1,,EC55989_0013
CDS_NC_011748.1_12174_14091_pos,NC_011748.1,EC55989_RS00070,WP_000516135.1,dnaK,12174,14091,pos,,molecular chaperone DnaK,,COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1,,EC55989_0014
CDS_NC_011748.1_14179_15310_pos,NC_011748.1,EC55989_RS00075,WP_001118464.1,dnaJ,14179,15310,pos,,molecular chaperone DnaJ,,COORDINATES: similar to AA sequence:RefSeq:NP_308042.1,,EC55989_0015
CDS_NC_011748.1_15413_15566_neg,NC_011748.1,EC55989_RS00080,WP_000809170.1,,15413,15566,neg,,type I toxin-antitoxin system toxin MokC,,COORDINATES: similar to AA sequence:RefSeq:NP_416080.1,,
CDS_NC_011748.1_16151_17318_pos,NC_011748.1,EC55989_RS00085,WP_000681360.1,nhaA,16151,17318,pos,,Na+/H+ antiporter NhaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308044.1,,EC55989_0016
CDS_NC_011748.1_17383_18283_pos,NC_011748.1,EC55989_RS00090,WP_001300855.1,nhaR,17383,18283,pos,,transcriptional activator NhaR,,COORDINATES: similar to AA sequence:RefSeq:NP_705976.2,,EC55989_0017
CDS_NC_011748.1_18321_19281_neg,NC_011748.1,EC55989_RS00095,WP_000871667.1,,18321,19281,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000871680.1,,EC55989_0018
CDS_NC_011748.1_19293_20625_neg,NC_011748.1,EC55989_RS00100,,,19293,20625,neg,True,fimbria/pilus outer membrane usher protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308049.1,,EC55989_0019
CDS_NC_011748.1_20871_22292_neg,NC_011748.1,EC55989_RS00105,,espX1,20871,22292,neg,True,type III secretion system effector EspX1,,COORDINATES: similar to AA sequence:RefSeq:NP_308052.1,,EC55989_0020
CDS_NC_011748.1_22775_23039_neg,NC_011748.1,EC55989_RS00110,WP_001274021.1,rpsT,22775,23039,neg,,30S ribosomal protein S20,,COORDINATES: similar to AA sequence:RefSeq:WP_006117633.1,,EC55989_0022
CDS_NC_011748.1_23141_23360_pos,NC_011748.1,EC55989_RS00115,WP_001295417.1,,23141,23360,pos,,DUF2575 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414565.1,,EC55989_0023
CDS_NC_011748.1_23367_24309_pos,NC_011748.1,EC55989_RS00120,WP_000767329.1,ribF,23367,24309,pos,,bifunctional riboflavin kinase/FAD synthetase,,COORDINATES: similar to AA sequence:RefSeq:NP_308055.1,2.7.1.26,EC55989_0024
CDS_NC_011748.1_24351_27168_pos,NC_011748.1,EC55989_RS00125,WP_001286857.1,ileS,24351,27168,pos,,isoleucine--tRNA ligase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124083.1,6.1.1.5,EC55989_0025
CDS_NC_011748.1_27167_27662_pos,NC_011748.1,EC55989_RS00130,WP_000083369.1,lspA,27167,27662,pos,,signal peptidase II,,COORDINATES: similar to AA sequence:RefSeq:NP_414568.1,3.4.23.36,EC55989_0026
CDS_NC_011748.1_27749_28199_pos,NC_011748.1,EC55989_RS00135,WP_000004655.1,fkpB,27749,28199,pos,,FKBP-type peptidyl-prolyl cis-trans isomerase,,COORDINATES: similar to AA sequence:RefSeq:NP_308058.1,5.2.1.8,EC55989_0027
CDS_NC_011748.1_28200_29151_pos,NC_011748.1,EC55989_RS00140,WP_001166395.1,ispH,28200,29151,pos,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124087.1,1.17.7.4,EC55989_0028
CDS_NC_011748.1_29216_30131_pos,NC_011748.1,EC55989_RS00145,WP_001239142.1,rihC,29216,30131,pos,,ribonucleoside hydrolase RihC,,COORDINATES: similar to AA sequence:RefSeq:NP_414571.1,,EC55989_0029
CDS_NC_011748.1_30297_31119_pos,NC_011748.1,EC55989_RS00150,WP_000543605.1,dapB,30297,31119,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,COORDINATES: similar to AA sequence:RefSeq:NP_414572.1,1.17.1.8,EC55989_0030
CDS_NC_011748.1_31574_32723_pos,NC_011748.1,EC55989_RS00165,WP_000597260.1,carA,31574,32723,pos,,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308062.1,6.3.5.5,EC55989_0031
CDS_NC_011748.1_32740_35962_pos,NC_011748.1,EC55989_RS00170,WP_001126376.1,carB,32740,35962,pos,,carbamoyl-phosphate synthase large subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308063.1,6.3.5.5,EC55989_0032
CDS_NC_011748.1_36222_36618_pos,NC_011748.1,EC55989_RS00180,WP_000333120.1,caiF,36222,36618,pos,,carnitine metabolism transcriptional regulator CaiF,,COORDINATES: similar to AA sequence:RefSeq:NP_414576.4,,EC55989_0034
CDS_NC_011748.1_36703_37294_neg,NC_011748.1,EC55989_RS00185,WP_000122876.1,caiE,36703,37294,neg,,carnitine operon protein CaiE,,COORDINATES: similar to AA sequence:RefSeq:NP_308065.2,,EC55989_0035
CDS_NC_011748.1_37299_38085_neg,NC_011748.1,EC55989_RS00190,WP_000004397.1,caiD,37299,38085,neg,,crotonobetainyl-CoA hydratase,,COORDINATES: similar to AA sequence:RefSeq:NP_414578.2,4.2.1.149,EC55989_0036
CDS_NC_011748.1_38193_39747_neg,NC_011748.1,EC55989_RS00195,WP_001386575.1,caiC,38193,39747,neg,,crotonobetaine/carnitine-CoA ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_308067.2,6.2.1.48,EC55989_0037
CDS_NC_011748.1_39820_41038_neg,NC_011748.1,EC55989_RS00200,WP_000349932.1,caiB,39820,41038,neg,,L-carnitine CoA-transferase,,COORDINATES: similar to AA sequence:RefSeq:NP_705994.1,2.8.3.21,EC55989_0038
CDS_NC_011748.1_41166_42309_neg,NC_011748.1,EC55989_RS00205,WP_000347117.1,caiA,41166,42309,neg,,crotonobetainyl-CoA dehydrogenase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124373.1,1.3.8.13,EC55989_0039
CDS_NC_011748.1_42339_43854_neg,NC_011748.1,EC55989_RS00210,WP_000787103.1,caiT,42339,43854,neg,,L-carnitine/gamma-butyrobetaine antiport BCCT transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_414582.1,,EC55989_0040
CDS_NC_011748.1_44327_45098_pos,NC_011748.1,EC55989_RS00215,WP_000692206.1,,44327,45098,pos,,electron transfer flavoprotein FixA,,COORDINATES: similar to AA sequence:RefSeq:NP_414583.2,,EC55989_0041
CDS_NC_011748.1_45112_46054_pos,NC_011748.1,EC55989_RS00220,WP_001091525.1,,45112,46054,pos,,electron transfer flavoprotein subunit alpha/FixB family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414584.1,,EC55989_0042
CDS_NC_011748.1_46104_47391_pos,NC_011748.1,EC55989_RS00225,WP_001287737.1,,46104,47391,pos,,FAD-dependent oxidoreductase,,COORDINATES: similar to AA sequence:RefSeq:NP_308073.1,,EC55989_0043
CDS_NC_011748.1_47387_47675_pos,NC_011748.1,EC55989_RS00230,WP_000203741.1,fixX,47387,47675,pos,,ferredoxin-like protein FixX,,COORDINATES: similar to AA sequence:RefSeq:NP_308074.1,,EC55989_0044
CDS_NC_011748.1_47733_49065_pos,NC_011748.1,EC55989_RS00235,WP_001183198.1,,47733,49065,pos,,MFS transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_414587.1,,EC55989_0045
CDS_NC_011748.1_49172_49703_pos,NC_011748.1,EC55989_RS00240,WP_000600725.1,kefF,49172,49703,pos,,glutathione-regulated potassium-efflux system oxidoreductase KefF,,COORDINATES: similar to AA sequence:RefSeq:NP_414588.1,,EC55989_0046
CDS_NC_011748.1_49695_51558_pos,NC_011748.1,EC55989_RS00245,WP_000377194.1,kefC,49695,51558,pos,,glutathione-regulated potassium-efflux system protein KefC,,COORDINATES: similar to AA sequence:RefSeq:NP_414589.1,,EC55989_0047
CDS_NC_011748.1_51749_52229_pos,NC_011748.1,EC55989_RS00250,WP_000624375.1,folA,51749,52229,pos,,type 3 dihydrofolate reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_020456510.1,,EC55989_0048
CDS_NC_011748.1_52306_53149_neg,NC_011748.1,EC55989_RS00255,WP_000257192.1,apaH,52306,53149,neg,,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,,COORDINATES: similar to AA sequence:RefSeq:NP_414591.1,3.6.1.41,EC55989_0049
CDS_NC_011748.1_53155_53533_neg,NC_011748.1,EC55989_RS00260,WP_000610901.1,apaG,53155,53533,neg,,Co2+/Mg2+ efflux protein ApaG,,COORDINATES: similar to AA sequence:RefSeq:NP_308082.1,,EC55989_0050
CDS_NC_011748.1_53535_54357_neg,NC_011748.1,EC55989_RS00265,WP_001065373.1,rsmA,53535,54357,neg,,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,,COORDINATES: similar to AA sequence:RefSeq:NP_414593.1,2.1.1.182,EC55989_0051
CDS_NC_011748.1_54353_55343_neg,NC_011748.1,EC55989_RS00270,WP_000241233.1,pdxA,54353,55343,neg,,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,,COORDINATES: similar to AA sequence:RefSeq:NP_308084.1,1.1.1.262,EC55989_0052
CDS_NC_011748.1_55342_56629_neg,NC_011748.1,EC55989_RS00275,WP_000800457.1,surA,55342,56629,neg,,peptidylprolyl isomerase SurA,,COORDINATES: similar to AA sequence:RefSeq:NP_308085.1,,EC55989_0053
CDS_NC_011748.1_56681_59036_neg,NC_011748.1,EC55989_RS00280,WP_000746151.1,lptD,56681,59036,neg,,LPS assembly protein LptD,,COORDINATES: similar to AA sequence:RefSeq:NP_414596.1,,EC55989_0054
CDS_NC_011748.1_59290_60106_pos,NC_011748.1,EC55989_RS00285,WP_001200573.1,djlA,59290,60106,pos,,co-chaperone DjlA,,COORDINATES: similar to AA sequence:RefSeq:NP_308087.1,,EC55989_0055
CDS_NC_011748.1_60222_60882_neg,NC_011748.1,EC55989_RS00290,WP_000525176.1,rluA,60222,60882,neg,,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,,COORDINATES: similar to AA sequence:RefSeq:NP_414600.1,5.4.99.28,EC55989_0056
CDS_NC_011748.1_60893_63800_neg,NC_011748.1,EC55989_RS00295,WP_001117011.1,rapA,60893,63800,neg,,RNA polymerase-associated protein RapA,,COORDINATES: similar to AA sequence:RefSeq:WP_001117023.1,,EC55989_0057
CDS_NC_011748.1_63964_66316_neg,NC_011748.1,EC55989_RS00300,WP_000035654.1,polB,63964,66316,neg,,DNA polymerase II,,COORDINATES: similar to AA sequence:RefSeq:NP_414602.1,2.7.7.7,EC55989_0058
CDS_NC_011748.1_66390_67086_neg,NC_011748.1,EC55989_RS00305,WP_000888666.1,araD,66390,67086,neg,,L-ribulose-5-phosphate 4-epimerase,,COORDINATES: similar to AA sequence:RefSeq:NP_414603.1,5.1.3.4,EC55989_0059
