,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NC_013364.1_189_255_pos,NC_013364.1,ECO111_RS00010,WP_001386572.1,thrL,189,255,pos,,thr operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_414542.1,,ECO111_0001
CDS_NC_013364.1_335_2798_pos,NC_013364.1,ECO111_RS00015,WP_001264697.1,thrA,335,2798,pos,,bifunctional aspartate kinase/homoserine dehydrogenase I,,COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1,1.1.1.3,ECO111_0002
CDS_NC_013364.1_2799_3732_pos,NC_013364.1,ECO111_RS00020,WP_000241660.1,thrB,2799,3732,pos,,homoserine kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_308030.1,2.7.1.39,ECO111_0003
CDS_NC_013364.1_3732_5019_pos,NC_013364.1,ECO111_RS00025,WP_000781063.1,thrC,3732,5019,pos,,threonine synthase,,COORDINATES: similar to AA sequence:RefSeq:NP_308031.1,4.2.3.1,ECO111_0004
CDS_NC_013364.1_5232_5529_pos,NC_013364.1,ECO111_RS00035,WP_000738723.1,,5232,5529,pos,,DUF2502 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414546.1,,ECO111_0005
CDS_NC_013364.1_5682_6459_neg,NC_013364.1,ECO111_RS00040,WP_000906184.1,yaaA,5682,6459,neg,,peroxide stress protein YaaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308033.1,,ECO111_0006
CDS_NC_013364.1_6528_7959_neg,NC_013364.1,ECO111_RS00045,WP_001112597.1,,6528,7959,neg,,sodium:alanine symporter family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414548.1,,ECO111_0007
CDS_NC_013364.1_8237_9191_pos,NC_013364.1,ECO111_RS00050,WP_000130185.1,tal,8237,9191,pos,,transaldolase,,COORDINATES: similar to AA sequence:RefSeq:NP_308035.1,2.2.1.2,ECO111_0008
CDS_NC_013364.1_9305_9893_pos,NC_013364.1,ECO111_RS00055,WP_001094682.1,mog,9305,9893,pos,,molybdopterin adenylyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_308036.1,2.7.7.75,ECO111_0009
CDS_NC_013364.1_9927_10494_neg,NC_013364.1,ECO111_RS00060,WP_000528538.1,satP,9927,10494,neg,,acetate uptake transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_308037.1,,ECO111_0010
CDS_NC_013364.1_10642_11356_neg,NC_013364.1,ECO111_RS00065,WP_001102383.1,msyB,10642,11356,neg,,acidic protein MsyB,,COORDINATES: similar to AA sequence:RefSeq:NP_414552.1,,ECO111_0011
CDS_NC_013364.1_11381_11786_neg,NC_013364.1,ECO111_RS00070,WP_000843559.1,,11381,11786,neg,,DUF2541 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_705972.1,,ECO111_0012
CDS_NC_013364.1_12162_14079_pos,NC_013364.1,ECO111_RS00075,WP_000516135.1,dnaK,12162,14079,pos,,molecular chaperone DnaK,,COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1,,ECO111_0013
CDS_NC_013364.1_14167_15283_pos,NC_013364.1,ECO111_RS00080,WP_001118450.1,dnaJ,14167,15283,pos,,molecular chaperone DnaJ,,COORDINATES: similar to AA sequence:RefSeq:NP_308042.1,,ECO111_0014
CDS_NC_013364.1_15386_15539_neg,NC_013364.1,ECO111_RS00085,WP_000809168.1,,15386,15539,neg,,type I toxin-antitoxin system toxin MokC,,COORDINATES: similar to AA sequence:RefSeq:NP_416080.1,,ECO111_0015
CDS_NC_013364.1_16124_17291_pos,NC_013364.1,ECO111_RS00090,WP_000681360.1,nhaA,16124,17291,pos,,Na+/H+ antiporter NhaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308044.1,,ECO111_0017
CDS_NC_013364.1_17356_18256_pos,NC_013364.1,ECO111_RS00095,WP_001300855.1,nhaR,17356,18256,pos,,transcriptional activator NhaR,,COORDINATES: similar to AA sequence:RefSeq:NP_705976.2,,ECO111_0018
CDS_NC_013364.1_18293_19253_neg,NC_013364.1,ECO111_RS00100,WP_000871667.1,,18293,19253,neg,,hypothetical protein,,COORDINATES: similar to AA sequence:RefSeq:WP_000871680.1,,
CDS_NC_013364.1_19265_20618_neg,NC_013364.1,ECO111_RS00105,,,19265,20618,neg,True,fimbria/pilus outer membrane usher protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308049.1,,ECO111_0021
CDS_NC_013364.1_20851_22273_neg,NC_013364.1,ECO111_RS00110,WP_000181242.1,espX1,20851,22273,neg,,type III secretion system effector EspX1,,COORDINATES: similar to AA sequence:RefSeq:NP_308052.1,,ECO111_0022
CDS_NC_013364.1_22756_23020_neg,NC_013364.1,ECO111_RS00115,WP_001274021.1,rpsT,22756,23020,neg,,30S ribosomal protein S20,,COORDINATES: similar to AA sequence:RefSeq:WP_006117633.1,,ECO111_0023
CDS_NC_013364.1_23349_24291_pos,NC_013364.1,ECO111_RS00125,WP_000767329.1,ribF,23349,24291,pos,,bifunctional riboflavin kinase/FAD synthetase,,COORDINATES: similar to AA sequence:RefSeq:NP_308055.1,2.7.1.26,ECO111_0025
CDS_NC_013364.1_24333_27150_pos,NC_013364.1,ECO111_RS00130,WP_001286861.1,ileS,24333,27150,pos,,isoleucine--tRNA ligase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124083.1,6.1.1.5,ECO111_0026
CDS_NC_013364.1_27149_27644_pos,NC_013364.1,ECO111_RS00135,WP_000083369.1,lspA,27149,27644,pos,,signal peptidase II,,COORDINATES: similar to AA sequence:RefSeq:NP_414568.1,3.4.23.36,ECO111_0027
CDS_NC_013364.1_27731_28181_pos,NC_013364.1,ECO111_RS00140,WP_000004655.1,fkpB,27731,28181,pos,,FKBP-type peptidyl-prolyl cis-trans isomerase,,COORDINATES: similar to AA sequence:RefSeq:NP_308058.1,5.2.1.8,ECO111_0028
CDS_NC_013364.1_28182_29133_pos,NC_013364.1,ECO111_RS00145,WP_001166395.1,ispH,28182,29133,pos,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,COORDINATES: similar to AA sequence:RefSeq:WP_005124087.1,1.17.7.4,ECO111_0029
CDS_NC_013364.1_29198_30113_pos,NC_013364.1,ECO111_RS00150,WP_001239142.1,rihC,29198,30113,pos,,ribonucleoside hydrolase RihC,,COORDINATES: similar to AA sequence:RefSeq:NP_414571.1,,ECO111_0030
CDS_NC_013364.1_30279_31101_pos,NC_013364.1,ECO111_RS00155,WP_000543605.1,dapB,30279,31101,pos,,4-hydroxy-tetrahydrodipicolinate reductase,,COORDINATES: similar to AA sequence:RefSeq:NP_414572.1,1.17.1.8,ECO111_0031
CDS_NC_013364.1_31556_32705_pos,NC_013364.1,ECO111_RS00170,WP_000597260.1,carA,31556,32705,pos,,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308062.1,6.3.5.5,ECO111_0032
CDS_NC_013364.1_32722_35944_pos,NC_013364.1,ECO111_RS00175,WP_001126392.1,carB,32722,35944,pos,,carbamoyl-phosphate synthase large subunit,,COORDINATES: similar to AA sequence:RefSeq:NP_308063.1,6.3.5.5,ECO111_0033
CDS_NC_013364.1_36204_36600_pos,NC_013364.1,ECO111_RS00185,WP_000333120.1,caiF,36204,36600,pos,,carnitine metabolism transcriptional regulator CaiF,,COORDINATES: similar to AA sequence:RefSeq:NP_414576.4,,ECO111_0035
CDS_NC_013364.1_36685_37276_neg,NC_013364.1,ECO111_RS00190,WP_000122876.1,caiE,36685,37276,neg,,carnitine operon protein CaiE,,COORDINATES: similar to AA sequence:RefSeq:NP_308065.2,,ECO111_0036
CDS_NC_013364.1_37281_38067_neg,NC_013364.1,ECO111_RS00195,WP_000004397.1,caiD,37281,38067,neg,,crotonobetainyl-CoA hydratase,,COORDINATES: similar to AA sequence:RefSeq:NP_414578.2,4.2.1.149,ECO111_0037
CDS_NC_013364.1_38175_39729_neg,NC_013364.1,ECO111_RS00200,WP_000351348.1,caiC,38175,39729,neg,,crotonobetaine/carnitine-CoA ligase,,COORDINATES: similar to AA sequence:RefSeq:NP_308067.2,6.2.1.48,ECO111_0038
