,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NZ_CP009166.1_189_255_pos,NZ_CP009166.1,EC1303_RS00005,WP_001386572.1,thrL,189,255,pos,,thr operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_414542.1,,EC1303_c00010
CDS_NZ_CP009166.1_335_2798_pos,NZ_CP009166.1,EC1303_RS00010,WP_001264697.1,thrA,335,2798,pos,,bifunctional aspartate kinase/homoserine dehydrogenase I,,COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1,1.1.1.3,EC1303_c00020
CDS_NZ_CP009166.1_2799_3732_pos,NZ_CP009166.1,EC1303_RS00015,WP_000241660.1,thrB,2799,3732,pos,,homoserine kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_308030.1,2.7.1.39,EC1303_c00030
CDS_NZ_CP009166.1_3732_5019_pos,NZ_CP009166.1,EC1303_RS00020,WP_000781063.1,thrC,3732,5019,pos,,threonine synthase,,COORDINATES: similar to AA sequence:RefSeq:NP_308031.1,4.2.3.1,EC1303_c00040
CDS_NZ_CP009166.1_5232_5529_pos,NZ_CP009166.1,EC1303_RS00030,WP_000738721.1,,5232,5529,pos,,DUF2502 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308032.1,,EC1303_c00050
CDS_NZ_CP009166.1_5681_6458_neg,NZ_CP009166.1,EC1303_RS00035,WP_000906203.1,yaaA,5681,6458,neg,,peroxide stress protein YaaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308033.1,,EC1303_c00060
CDS_NZ_CP009166.1_6527_7958_neg,NZ_CP009166.1,EC1303_RS00040,WP_001112563.1,,6527,7958,neg,,sodium:alanine symporter family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414548.1,,EC1303_c00070
CDS_NZ_CP009166.1_8236_9190_pos,NZ_CP009166.1,EC1303_RS00045,WP_000130189.1,tal,8236,9190,pos,,transaldolase,,COORDINATES: similar to AA sequence:RefSeq:NP_308035.1,2.2.1.2,EC1303_c00080
CDS_NZ_CP009166.1_9304_9892_pos,NZ_CP009166.1,EC1303_RS00050,WP_001094682.1,mog,9304,9892,pos,,molybdopterin adenylyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_308036.1,2.7.7.75,EC1303_c00090
CDS_NZ_CP009166.1_9926_10493_neg,NZ_CP009166.1,EC1303_RS00055,WP_000528538.1,satP,9926,10493,neg,,acetate uptake transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_308037.1,,EC1303_c00100
CDS_NZ_CP009166.1_10641_11355_neg,NZ_CP009166.1,EC1303_RS00060,WP_032224198.1,msyB,10641,11355,neg,,acidic protein MsyB,,COORDINATES: similar to AA sequence:RefSeq:NP_414552.1,,EC1303_c00110
CDS_NZ_CP009166.1_11380_11785_neg,NZ_CP009166.1,EC1303_RS00065,WP_000843568.1,,11380,11785,neg,,DUF2541 family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_705972.1,,EC1303_c00120
CDS_NZ_CP009166.1_12161_14078_pos,NZ_CP009166.1,EC1303_RS00070,WP_000516135.1,dnaK,12161,14078,pos,,molecular chaperone DnaK,,COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1,,EC1303_c00130
CDS_NZ_CP009166.1_14166_15297_pos,NZ_CP009166.1,EC1303_RS00075,WP_001118464.1,dnaJ,14166,15297,pos,,molecular chaperone DnaJ,,COORDINATES: similar to AA sequence:RefSeq:NP_308042.1,,EC1303_c00140
CDS_NZ_CP009166.1_15400_15553_neg,NZ_CP009166.1,EC1303_RS00080,WP_000809168.1,mokC,15400,15553,neg,,type I toxin-antitoxin system toxin MokC,,COORDINATES: similar to AA sequence:RefSeq:NP_416080.1,,EC1303_c00150
CDS_NZ_CP009166.1_16138_17305_pos,NZ_CP009166.1,EC1303_RS00085,WP_000681368.1,nhaA,16138,17305,pos,,Na+/H+ antiporter NhaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308044.1,,EC1303_c00170
