,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,Dbxref,inference,EC_number,old_locus_tag
CDS_NC_009800.1_189_255_pos,NC_009800.1,ECHS_RS00005,WP_001386572.1,thrL,189,255,pos,,thr operon leader peptide,,COORDINATES: similar to AA sequence:RefSeq:NP_414542.1,,EcHS_A0002
CDS_NC_009800.1_335_2798_pos,NC_009800.1,ECHS_RS00010,WP_001264725.1,thrA,335,2798,pos,,bifunctional aspartate kinase/homoserine dehydrogenase I,,COORDINATES: similar to AA sequence:RefSeq:WP_005124053.1,1.1.1.3,EcHS_A0003
CDS_NC_009800.1_2799_3732_pos,NC_009800.1,ECHS_RS00015,WP_000241660.1,thrB,2799,3732,pos,,homoserine kinase,,COORDINATES: similar to AA sequence:RefSeq:NP_308030.1,2.7.1.39,EcHS_A0004
CDS_NC_009800.1_3732_5019_pos,NC_009800.1,ECHS_RS00020,WP_000781064.1,thrC,3732,5019,pos,,threonine synthase,,COORDINATES: similar to AA sequence:RefSeq:NP_308031.1,4.2.3.1,EcHS_A0005
CDS_NC_009800.1_5232_5529_pos,NC_009800.1,ECHS_RS00030,WP_000738723.1,,5232,5529,pos,,DUF2502 domain-containing protein,,COORDINATES: similar to AA sequence:RefSeq:NP_414546.1,,
CDS_NC_009800.1_5681_6458_neg,NC_009800.1,ECHS_RS00035,WP_000906203.1,yaaA,5681,6458,neg,,peroxide stress protein YaaA,,COORDINATES: similar to AA sequence:RefSeq:NP_308033.1,,EcHS_A0007
CDS_NC_009800.1_6527_7958_neg,NC_009800.1,ECHS_RS00040,WP_001112601.1,,6527,7958,neg,,sodium:alanine symporter family protein,,COORDINATES: similar to AA sequence:RefSeq:NP_308034.1,,EcHS_A0008
CDS_NC_009800.1_8236_9190_pos,NC_009800.1,ECHS_RS00045,WP_000130189.1,tal,8236,9190,pos,,transaldolase,,COORDINATES: similar to AA sequence:RefSeq:NP_308035.1,2.2.1.2,EcHS_A0009
CDS_NC_009800.1_9304_9892_pos,NC_009800.1,ECHS_RS00050,WP_001094682.1,mog,9304,9892,pos,,molybdopterin adenylyltransferase,,COORDINATES: similar to AA sequence:RefSeq:NP_308036.1,2.7.7.75,EcHS_A0010
CDS_NC_009800.1_9926_10493_neg,NC_009800.1,ECHS_RS00055,WP_000528538.1,satP,9926,10493,neg,,acetate uptake transporter,,COORDINATES: similar to AA sequence:RefSeq:NP_308037.1,,EcHS_A0011
